Name,Year,Director,Screenplay,Budget,Revenue,Genre 1,Genre 2,Duration
When Marnie Was There,2014,Hiromasa Yonebayashi,Joan G. Robinson,1150000000,561085,Animation,Drama,103
The Tale of The Princess Kaguya,2013,Isao Takahata,Riko Sakaguchi,49300000,703232,Animation,Drama,137
The Wind Rises,2013,Hayao Miyazaki,Tatsuo Hori,30000000,5209580,Drama,Animation,126
From Up on Poppy Hill,2011,Goro Miyazaki,Hayao Miyazaki,22000000,1002895,Animation,Drama,91
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,Mary Norton,23000000,19202743,Fantasy,Animation,94
Ponyo,2008,Hayao Miyazaki,Hayao Miyazaki,34000000,15090399,Animation,Fantasy,100
Ocean Waves,1994,Tomomi Mochizuki,Saeko Himuro,5000000,87738,Animation,Drama,72
Tales from Earthsea,2006,Goro Miyazaki,Ursula K. Le Guin,22000000,48658,Animation,Fantasy,115
Only Yesterday,1991,Isao Takahata,Isao Takahata,2500000,453243,Animation,Drama,119
Spirited Away,2001,Hayao Miyazaki,Hayao Miyazaki,19000000,10055859,Animation,Family,125
My Neighbors the Yamadas,1999,Isao Takahata,Isao Takahata,20500000,11910000,Animation,Family,104
Whisper of the Heart,1995,Yoshifumi Kondo,Hayao Miyazaki,7000000,4419400,Animation,Drama,111
Grave of the Fireflies,1988,Isao Takahata,Akiyuki Nosaka,3700000,519421,Animation,Drama,89
My Neighbor Totoro,1988,Hayao Miyazaki,Hayao Miyazaki,3700000,30695952,Fantasy,Animation,86
Princess Mononoke,1997,Hayao Miyazaki,Hayao Miyazaki,23500000,2375308,Adventure,Fantasy,134
Howl's Moving Castle,2004,Hayao Miyazaki,Diana Wynne Jones,24000000,4711096,Fantasy,Animation,119
Castle in the Sky,1986,Hayao Miyazaki,Hayao Miyazaki,3000000,523664,Adventure,Fantasy,125
Kiki's Delivery Service,1989,Hayao Miyazaki,Eiko Kadono,6900000,10393483,Animation,Family,103
Pom Poko,1994,Isao Takahata,Isao Takahata,12000000,372405,Adventure,Animation,119
Porco Rosso,1992,Hayao Miyazaki,Hayao Miyazaki,9200000,443059,Family,Comedy,93
The Cat Returns,2002,Hiroyuki Morita,Reiko Yoshida,20000000,563718,Adventure,Fantasy,75
Nausica of the Valley of the Wind,1984,Hayao Miyazaki,Kazunori Ito,1000000,8853968,Adventure,Animation,117
The Boy and the Heron,2023,Hayao Miyazaki,Hayao Miyazaki,100000000,173359701,Fantasy,Adventure,124
